Team,Lat,Lon
1,42.668,-83.289
4,34.201,-118.487
8,37.444,-122.15
11,40.845,-74.702
16,36.331,-92.375
20,42.85,-73.785
21,28.627,-80.843
23,41.91,-70.642
25,40.454,-74.482
27,42.724,-83.423
28,40.982,-72.307
31,36.015,-95.98
33,42.658,-83.237
34,34.804,-86.971
41,40.632,-74.51
45,40.451,-86.135
48,41.264,-80.816
51,42.644,-83.279
56,40.568,-74.54
58,43.632,-70.271
59,25.734,-80.359
60,35.133,-113.703
61,42.176,-71.603
63,42.074,-80.148
66,42.233,-83.634
67,42.66,-83.637
68,42.841,-83.429
69,42.249,-70.998
70,42.915,-83.484
71,41.61,-87.508
74,42.769,-86.116
75,40.477,-74.627
78,41.499,-71.299
79,28.146,-82.683
81,42.299,-89.635
85,42.826,-86.01
86,30.241,-81.617
87,40.009,-74.79
88,41.977,-70.972
93,44.242,-88.356
94,42.472,-83.294
95,43.672,-72.381
97,42.377,-71.126
100,37.425,-122.296
101,41.946,-87.806
102,40.588,-74.687
103,40.531,-75.212
107,42.769,-86.116
108,26.142,-80.173
111,42.064,-87.986
114,37.381,-122.126
115,37.318,-122.045
116,38.984,-77.368
117,40.431,-79.921
118,29.517,-95.096
120,41.495,-81.667
